Code,Population,
18,CEU
10,KHV
11,ACB
11,ACB
11,ACB
11,ACB
12,GWD
13,ESN
13,ESN
13,ESN
13,ESN
12,GWD
12,GWD
12,GWD
11,ACB
12,GWD
4,PUR
4,PUR
4,PUR
6,CLM
19,YRI
19,YRI
19,YRI
19,YRI
19,YRI
19,YRI
19,YRI
19,YRI
22,LWK
19,YRI
19,YRI
22,LWK
19,YRI
19,YRI
23,ASW
23,ASW
23,ASW
23,ASW
23,ASW
23,ASW
15,MSL
15,MSL
13,ESN
13,ESN
13,ESN
13,ESN
13,ESN
15,MSL
15,MSL
15,MSL
13,ESN
13,ESN
13,ESN
13,ESN
19,YRI
19,YRI
19,YRI
23,ASW
19,YRI
5,CDX
20,CHB
10,KHV
20,CHB
7,IBS
7,IBS
19,YRI
2,FIN
7,IBS
10,KHV
5,CDX
18,CEU
11,ACB
16,STU
17,ITU
17,ITU
9,PJL
9,PJL
9,PJL
9,PJL
9,PJL
9,PJL
16,STU
14,BEB
16,STU
16,STU
17,ITU
17,ITU
17,ITU
17,ITU
14,BEB
11,ACB
14,BEB
14,BEB
7,IBS
2,FIN
2,FIN
1,GBR
2,FIN
4,PUR
2,FIN
2,FIN
7,IBS
7,IBS
1,GBR
7,IBS
7,IBS
7,IBS
7,IBS
25,TSI
25,TSI
25,TSI
25,TSI
25,TSI
25,TSI
18,CEU
18,CEU
17,ITU
25,TSI
11,ACB
11,ACB
11,ACB
11,ACB
8,PEL
11,ACB
11,ACB
11,ACB
11,ACB
11,ACB
11,ACB
11,ACB
12,GWD
12,GWD
12,GWD
13,ESN
13,ESN
12,GWD
13,ESN
12,GWD
12,GWD
12,GWD
13,ESN
12,GWD
12,GWD
11,ACB
11,ACB
11,ACB
11,ACB
11,ACB
11,ACB
11,ACB
11,ACB
11,ACB
11,ACB
11,ACB
12,GWD
12,GWD
12,GWD
11,ACB
11,ACB
11,ACB
11,ACB
11,ACB
12,GWD
11,ACB
6,CLM
4,PUR
6,CLM
19,YRI
19,YRI
19,YRI
19,YRI
19,YRI
19,YRI
19,YRI
19,YRI
19,YRI
19,YRI
19,YRI
19,YRI
22,LWK
22,LWK
22,LWK
22,LWK
19,YRI
19,YRI
22,LWK
19,YRI
19,YRI
19,YRI
19,YRI
19,YRI
19,YRI
22,LWK
23,ASW
23,ASW
23,ASW
23,ASW
23,ASW
23,ASW
23,ASW
23,ASW
23,ASW
23,ASW
13,ESN
15,MSL
15,MSL
15,MSL
12,GWD
15,MSL
13,ESN
13,ESN
13,ESN
13,ESN
13,ESN
13,ESN
13,ESN
13,ESN
13,ESN
13,ESN
15,MSL
15,MSL
15,MSL
15,MSL
15,MSL
15,MSL
15,MSL
15,MSL
15,MSL
15,MSL
15,MSL
15,MSL
15,MSL
15,MSL
15,MSL
15,MSL
13,ESN
13,ESN
19,YRI
19,YRI
19,YRI
19,YRI
19,YRI
26,GIH
1,GBR
25,TSI
11,ACB
11,ACB
11,ACB
11,ACB
11,ACB
11,ACB
11,ACB
11,ACB
11,ACB
11,ACB
11,ACB
13,ESN
12,GWD
12,GWD
12,GWD
12,GWD
12,GWD
11,ACB
11,ACB
11,ACB
12,GWD
12,GWD
12,GWD
12,GWD
12,GWD
12,GWD
12,GWD
11,ACB
4,PUR
4,PUR
4,PUR
4,PUR
7,IBS
19,YRI
19,YRI
19,YRI
22,LWK
22,LWK
19,YRI
19,YRI
19,YRI
22,LWK
22,LWK
22,LWK
19,YRI
22,LWK
22,LWK
19,YRI
19,YRI
19,YRI
23,ASW
22,LWK
22,LWK
22,LWK
22,LWK
23,ASW
