Population,Sample,Mut,Severity,col,row
CLM,6,6,6,1,245
CLM,6,6,6,1,246
CLM,6,6,6,1,247
CLM,6,6,6,1,248
CLM,6,6,6,1,249
CLM,6,6,6,1,250
CLM,6,6,6,1,251
CLM,6,6,6,1,252
CLM,6,6,6,1,253
CLM,6,6,6,1,254
CHS,3,3,3,1,255
CHS,3,3,3,1,256
CLM,6,6,6,1,257
CDX,5,5,5,1,258
CLM,6,6,6,1,259
CLM,6,6,6,1,260
CLM,6,6,6,1,261
CLM,6,6,6,1,262
CLM,6,6,6,1,263
CLM,6,6,6,1,264
CLM,6,6,6,1,265
CLM,6,6,6,1,266
CLM,6,6,6,1,267
PEL,8,8,8,1,268
CLM,6,6,6,1,269
CLM,6,6,6,1,270
CLM,6,6,6,1,271
CLM,6,6,6,1,272
CLM,6,6,6,1,273
CLM,6,6,6,1,274
CLM,6,6,6,1,275
CLM,6,6,6,1,276
CLM,6,6,6,1,277
JPT,21,21,21,1,278
CHB,20,20,20,1,279
CHB,20,20,20,1,280
JPT,21,21,21,1,281
MXL,24,24,24,1,282
MXL,24,24,24,1,283
MXL,24,24,24,1,284
MXL,24,24,24,1,285
MXL,24,24,24,1,286
MXL,24,24,24,1,287
MXL,24,24,24,1,288
MXL,24,24,24,1,289
MXL,24,24,24,1,290
MXL,24,24,24,1,291
MXL,24,24,24,1,292
CHB,20,20,20,1,293
MXL,24,24,24,1,294
GBR,1,1,1,1,295
ITU,17,17,17,1,296
ITU,17,17,17,1,297
BEB,14,14,14,1,298
ITU,17,17,17,1,299
BEB,14,14,14,1,300
ITU,17,17,17,1,301
CEU,18,18,18,1,302
PJL,9,9,9,1,303
STU,16,16,16,1,304
BEB,14,14,14,1,305
BEB,14,14,14,1,306
BEB,14,14,14,1,307
BEB,14,14,14,1,308
GIH,26,26,26,1,309
GIH,26,26,26,1,310
GIH,26,26,26,1,311
PJL,9,9,9,1,312
GIH,26,26,26,1,313
STU,16,16,16,1,314
STU,16,16,16,1,315
BEB,14,14,14,1,316
GIH,26,26,26,1,317
ASW,23,23,23,1,318
ASW,23,23,23,1,319
PUR,4,4,4,1,320
LWK,22,22,22,1,321
LWK,22,22,22,1,322
LWK,22,22,22,1,323
LWK,22,22,22,1,324
ACB,11,11,11,1,325
ACB,11,11,11,1,326
ESN,13,13,13,1,327
ESN,13,13,13,1,328
ACB,11,11,11,1,329
PUR,4,4,4,1,330
CLM,6,6,6,1,331
ESN,13,13,13,1,332
YRI,19,19,19,1,333
LWK,22,22,22,1,334
LWK,22,22,22,1,335
LWK,22,22,22,1,336
LWK,22,22,22,1,337
LWK,22,22,22,1,338
LWK,22,22,22,1,339
LWK,22,22,22,1,340
LWK,22,22,22,1,341
LWK,22,22,22,1,342
LWK,22,22,22,1,343
LWK,22,22,22,1,344
YRI,19,19,19,1,345
YRI,19,19,19,1,346
YRI,19,19,19,1,347
LWK,22,22,22,1,348
LWK,22,22,22,1,349
LWK,22,22,22,1,350
ASW,23,23,23,1,351
ASW,23,23,23,1,352
ASW,23,23,23,1,353
ESN,13,13,13,1,354
ESN,13,13,13,1,355
MSL,15,15,15,1,356
MSL,15,15,15,1,357
ESN,13,13,13,1,358
ESN,13,13,13,1,359
YRI,19,19,19,1,360
ASW,23,23,23,1,361
MSL,15,15,15,1,362
ASW,23,23,23,1,363
IBS,7,7,7,1,364
MXL,24,24,24,1,365
JPT,21,21,21,1,366
BEB,14,14,14,1,367
JPT,21,21,21,1,368
ACB,11,11,11,1,369
ACB,11,11,11,1,370
ACB,11,11,11,1,371
ESN,13,13,13,1,372
ESN,13,13,13,1,373
PUR,4,4,4,1,374
PUR,4,4,4,1,375
PUR,4,4,4,1,376
CLM,6,6,6,1,377
PUR,4,4,4,1,378
PUR,4,4,4,1,379
YRI,19,19,19,1,380
YRI,19,19,19,1,381
LWK,22,22,22,1,382
LWK,22,22,22,1,383
LWK,22,22,22,1,384
ESN,13,13,13,1,385
ESN,13,13,13,1,386
ESN,13,13,13,1,387
ESN,13,13,13,1,388
ASW,23,23,23,1,389
GWD,12,12,12,1,390
GWD,12,12,12,1,391
ACB,11,11,11,1,392
LWK,22,22,22,1,393
LWK,22,22,22,1,394
LWK,22,22,22,1,395
LWK,22,22,22,1,396
LWK,22,22,22,1,397
LWK,22,22,22,1,398
LWK,22,22,22,1,399
